,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
343,Pangnirtung,66.1451,-65.7125,14.18,69,89,7.67,CA,1648339698
344,Douglas,41.3,-96.167,42.75,31,0,10.36,US,1648339665
345,Sirte,31.2089,16.5887,62.08,28,20,19.73,LY,1648339939
346,Bocaiúva,-17.1078,-43.815,76.71,55,59,4.81,BR,1648339939
347,Gamba,-2.65,10.0,77.68,90,99,5.48,GA,1648339940
348,Rundu,-17.9333,19.7667,67.33,58,76,5.17,NA,1648339940
349,Baykit,61.67,96.37,12.36,93,100,10.65,RU,1648339940
350,Siocon,7.7061,122.1353,77.0,86,100,11.99,PH,1648339941
351,Port-Gentil,-0.7193,8.7815,81.27,84,92,12.48,GA,1648339760
352,Okotoks,50.7289,-113.9828,46.42,51,99,3.0,CA,1648339941
